YDR395W	SXM1
YGR129W	SYF2
YPR098C	YPR098C
YPL015C	HST2
YCL050C	APA1
YLR031W	YLR031W
YGR053C	YGR053C
YCR101C	YCR101C
YER087C-B	SBH1
YOR280C	FSH3
YGR097W	ASK10
YHR215W	PHO12
YKL025C	PAN3
YKR011C	YKR011C
YDR348C	YDR348C
YOR024W	YOR024W
YPL183C	RTT10
YGR003W	CUL3
YBL095W	YBL095W
YGL060W	YBP2
YOR083W	WHI5
YDR329C	PEX3
YHR209W	CRG1
YPR008W	HAA1
YER075C	PTP3
YDL203C	ACK1
YBR050C	REG2
YDL126C_tsq209	cdc48-2
YBL049W	MOH1
YDR134C	YDR134C
YER054C	GIP2
YDR305C	HNT2
YLL050C_tsq234	cof1-5
YBR206W	YBR206W
YCR061W	YCR061W
YHR051W	COX6
YPL171C	OYE3
YPR124W	CTR1
YGL167C	PMR1
YBR292C	YBR292C
YHR188C_damp	GPI16_damp
YOR094W	ARF3
YBR236C_tsq78	abd1-5
YBR063C	YBR063C
YER052C	HOM3
YGR178C	PBP1
YJL065C	DLS1
YOL141W	PPM2
YHR095W	YHR095W
YBR271W	YBR271W
YMR221C	FMP42
YDR388W_damp	RVS167_damp
YER130C	COM2
YDR363W	ESC2
YPL028W_tsq531	erg10-1
YGR266W	YGR266W
YPL147W	PXA1
YLR443W	ECM7
YAL034C	FUN19
YBR067C	TIP1
YNL113W_damp	RPC19_damp
YCR095C	OCA4
YBR055C_tsq455	prp6-1
YPR084W	YPR084W
YBR184W	YBR184W
YGR035C	YGR035C
YCL008C	STP22
YDL222C	FMP45
YEL065W	SIT1
YDR313C	PIB1
YHR116W	COX23
YFR018C	YFR018C
YKL007W	CAP1
YDL213C	NOP6
YNL292W	PUS4
YLR259C_damp	HSP60_damp
YOR324C	FRT1
YNL134C	YNL134C
YKL100C	YKL100C
YAL043C-A	YAL043C-A
YPL021W	ECM23
YIL146C	ECM37
YIL121W	QDR2
YDL167C	NRP1
YPL214C	THI6
YBR270C	BIT2
YOR228C	YOR228C
YML020W	YML020W
YGR121C	MEP1
YDL095W	PMT1
YBR222C	PCS60
YMR183C	SSO2
YOR274W	MOD5
YJL166W_damp	QCR8_damp
YOL035C	YOL035C
YML075C	HMG1
YDR457W	TOM1
YLR273C	PIG1
YLR434C	YLR434C
YDR181C	SAS4
YCL056C	YCL056C
YJL083W	TAX4
YPL140C	MKK2
YOR026W	BUB3
YER123W	YCK3
YKR054C	DYN1
YGR055W	MUP1
YMR315W	YMR315W
YAL024C	LTE1
YKL202W	YKL202W
YKL187C	YKL187C
YDR383C	NKP1
YKL055C	OAR1
YDR035W	ARO3
YBL062W	YBL062W
YHR160C	PEX18
YDR119W	VBA4
YBR208C	DUR1,2
YER151C	UBP3
YLR070C	XYL2
YGR041W	BUD9
YHR097C	YHR097C
YPL047W	SGF11
YPL014W	YPL014W
YGR007W	MUQ1
YML116W	ATR1
YOL137W	BSC6
YFL043C	YFL043C
YKL214C	YRA2
YER061C	CEM1
YPL119C	DBP1
YDL125C	HNT1
YLL019C	KNS1
YNL257C	SIP3
YGL199C	YGL199C
YJR092W	BUD4
YDR010C	YDR010C
YBL059W	YBL059W
YBR291C	CTP1
YDR262W	YDR262W
YFL012W	YFL012W
YDR072C	IPT1
YDR179C	CSN9
YIL053W	RHR2
YMR161W	HLJ1
YDR258C	HSP78
YDR467C	YDR467C
YGL162W	SUT1
YNL047C	SLM2
YKL038W	RGT1
YFL053W	DAK2
YKR060W	UTP30
YPR200C	ARR2
YHR150W	PEX28
YBR045C	GIP1
YMR039C	SUB1
YPR127W	YPR127W
YDR217C	RAD9
YGL147C	RPL9A
YPL235W_damp	RVB2_damp
YJR126C	VPS70
YPR026W	ATH1
YDL038C	YDL038C
YHR073W	OSH3
YHR125W	YHR125W
YMR274C	RCE1
YMR008C	PLB1
YER119C-A	YER119C-A
YOR197W	MCA1
YBR160W_tsq175	cdc28-13
YNL081C	SWS2
YKL096W-A	CWP2
YDR532C	YDR532C
YDR049W	YDR049W
YDR052C_tsq163	dbf4-3
YJL043W	YJL043W
YHR079C	IRE1
YLR006C	SSK1
YPR171W	BSP1
YHL029C	OCA5
YLR178C	TFS1
YML063W	RPS1B
YOR184W	SER1
YBR008C	FLR1
YDR372C	VPS74
YOR336W_tsq139	kre5-ts2
YMR208W_damp	ERG12_damp
YBL024W	NCL1
YDR317W	HIM1
YJL038C	LOH1
YDR043C	NRG1
YHR028C	DAP2
YGL097W_tsq958	srm1-ts
YCL044C	MGR1
YFR022W	ROG3
YBL008W	HIR1
YMR178W	YMR178W
YOL008W	COQ10
YHR017W	YSC83
YMR095C	SNO1
YHR198C	AIM18
YOR076C	SKI7
YOR103C_damp	OST2_damp
YNL219C	ALG9
YGL015C	YGL015C
YLR210W	CLB4
YIL034C	CAP2
YLR148W	PEP3
YOR342C	YOR342C
YOL070C	NBA1
YLR124W	YLR124W
YIL043C	CBR1
YGR231C	PHB2
YGR034W	RPL26B
YMR266W	RSN1
YNL021W	HDA1
YPL107W	YPL107W
YGR088W	CTT1
YCR063W	BUD31
YDL048C	STP4
YPR097W	YPR097W
YNL056W	OCA2
YAL020C	ATS1
YDL025C	YDL025C
YDL243C	AAD4
YGL197W	MDS3
YHR092C	HXT4
YBR090C-A	YBR090C-A
YOL159C	YOL159C
YNR074C	AIF1
YLR189C	ATG26
YML032C	RAD52
YFL028C	CAF16
YOR081C	TGL5
YLR459W_tsq200	gab1-1
YDL219W	DTD1
YKR040C	YKR040C
YDL080C	THI3
YLR374C	YLR374C
YHR109W	CTM1
YJL060W	BNA3
YPL061W	ALD6
YER174C	GRX4
YPR062W	FCY1
YDR223W	CRF1
YDR402C	DIT2
YLR037C	DAN2
YGR241C	YAP1802
YGL062W	PYC1
YPR057W	BRR1
YIL012W	YIL012W
YDR156W	RPA14
YJR113C	RSM7
YLR416C	YLR416C
YMR155W	YMR155W
YGR164W	YGR164W
YOL106W	YOL106W
YIL140W	AXL2
YDR272W	GLO2
YOR238W	YOR238W
YPR077C	YPR077C
YNR044W	AGA1
YKL142W	MRP8
YPR009W	SUT2
YHR032W	YHR032W
YGL079W	YGL079W
YNR031C	SSK2
YMR086C-A	YMR086C-A
YMR244W	YMR244W
YMR233W	TRI1
YLL010C	PSR1
YNL104C	LEU4
YIL005W	EPS1
YOR365C	YOR365C
YNR030W	ALG12
YGL131C	SNT2
YDL162C	YDL162C
YNR040W	YNR040W
YHR033W	YHR033W
YNR034W	SOL1
YDL071C	YDL071C
YOR173W	DCS2
YOR337W	TEA1
YGL104C	VPS73
YGR243W	FMP43
YNL251C_damp	NRD1_damp
YOR107W	RGS2
YGR210C	YGR210C
YLR012C	YLR012C
YLR054C	OSW2
YHR193C	EGD2
YOR005C	DNL4
YPR147C	YPR147C
YBR092C	PHO3
YLR391W	YLR391W
YOR242C	SSP2
YJL028W	YJL028W
YLR077W	FMP25
YJL176C	SWI3
YJR127C	RSF2
YCR007C	YCR007C
YLR453C	RIF2
YDR225W	HTA1
YPR020W	ATP20
YJR003C	YJR003C
YHR136C	SPL2
YIL101C	XBP1
YPR114W	YPR114W
YPL189W	GUP2
YPL247C	YPL247C
YDR482C	CWC21
YBL058W	SHP1
YJL122W	ALB1
YKL107W	YKL107W
YLL039C	UBI4
YER085C	YER085C
YMR186W	HSC82
YCR065W	HCM1
YPR091C	YPR091C
YOL083W	YOL083W
YNL020C	ARK1
YGL125W	MET13
YDL215C	GDH2
YCR022C	YCR022C
YLR354C	TAL1
YFR008W	FAR7
YCL026C	YCL026C
YDR284C	DPP1
YFL013C	IES1
YKL051W	SFK1
YPR174C	YPR174C
YDR112W	IRC2
YIL150C_tsq110	mcm10-1
YBR065C	ECM2
YLR308W	CDA2
YHL042W	YHL042W
YMR029C	FAR8
YNL068C	FKH2
YPR121W	THI22
YGL157W	YGL157W
YMR148W	YMR148W
YML058W	SML1
YGR019W	UGA1
YBR263W	SHM1
YJL049W	YJL049W
YDR286C	YDR286C
YPR044C	OPI11
YBL043W	ECM13
YLR018C	POM34
YOR251C	TUM1
YOR186W	YOR186W
YDR083W	RRP8
YOR267C	HRK1
YLR109W	AHP1
YOR032C	HMS1
YOR091W	TMA46
YKR059W	TIF1
YBR205W	KTR3
YLR292C	SEC72
YLR216C	CPR6
YCR044C	PER1
YDR046C	BAP3
YGR069W	YGR069W
YJL092W	SRS2
YML018C	YML018C
YDR096W	GIS1
YLR445W	YLR445W
YOR138C	RUP1
YHR059W	FYV4
YLR138W	NHA1
YEL002C_tsq590	wbp1-1
YNL156C	NSG2
YNL093W	YPT53
YDL217C_tsq714	tim22-19
YIL040W	APQ12
YDR425W	SNX41
YJR094W-A	RPL43B
YGR113W_tsq243	dam1-9
YDR293C	SSD1
YNR015W	SMM1
YKL006W	RPL14A
YLR456W	YLR456W
YDR448W	ADA2
YIL166C	YIL166C
YDR097C	MSH6
YER184C	YER184C
YFR036W_tsq91	cdc26-1
YJL066C	MPM1
YLR368W	MDM30
YHR041C	SRB2
YDR474C	YDR474C
YBR147W	RTC2
YHR086W	NAM8
YFL003C	MSH4
YJL074C_tsq63	smc3-42
YOR125C	CAT5
YLR065C	YLR065C
YNL298W	CLA4
YPL134C	ODC1
YER078C	ICP55
YLR314C_tsq885	cdc3-1
YNL122C	YNL122C
YGL066W	SGF73
YGL063W	PUS2
YER110C_damp	KAP123_damp
YML030W	AIM31
YLR191W	PEX13
YMR316W	DIA1
YCR027C	RHB1
YMR263W	SAP30
YOL113W	SKM1
YDR517W	GRH1
