DRUG	ENTREZ	NAME	DESC
10-cf3c(oh)2-ddacthf	2618	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
(11-beta)-11,21-dihydroxy-pregn-4-ene-3,20-dione	4306	NR3C2	nuclear receptor subfamily 3, group C, member 2
(11e)-octadec-11-enoic acid	5467	PPARD	peroxisome proliferative activated receptor, delta
1-{2-[2-(2-methoxyethoxy)ethoxy]ethoxy}-4-(1,1,3,3-tetramethylbutyl)benzene	7274	TTPA	tocopherol (alpha) transfer protein (ataxia (Friedreich-like) with vitamin E deficiency)
1,2,3,4-tetrahydro-isoquinoline-7-sulfonic acid amide	5409	PNMT	phenylethanolamine N-methyltransferase
1,2,4-triazole	760	CA2	carbonic anhydrase II
1-(2,6-dichlorophenyl)-5-(2,4-difluorophenyl)-7-piperazin-1-yl-3,4-dihydroquinazolin-2(1h)-one	1432	MAPK14	mitogen-activated protein kinase 14
1-(2,6-dichlorophenyl)-5-(2,4-difluorophenyl)-7-piperidin-4-yl-3,4-dihydroquinolin-2(1h)-one	1432	MAPK14	mitogen-activated protein kinase 14
1-[(2-amino-6,9-dihydro-1h-purin-6-yl)oxy]-3-methyl-2-butanol	1017	CDK2	cyclin-dependent kinase 2
1-(2-chlorophenyl)-3,5-dimethyl-1h-pyrazole-4-carboxylic acid ethyl ester	5142	PDE4B	phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)
1,2-diacyl-sn-glycero-3-phosphoinositol	5306	PITPNA	phosphatidylinositol transfer protein, alpha
1-(2-fluorobenzyl)-3-butyl-8-(n-acetyl-4-aminobenzyl)-xanthine	5105	PCK1	phosphoenolpyruvate carboxykinase 1 (soluble)
12-hydroxydodecanoic acid	128	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide
12-phenylheme	3162	HMOX1	heme oxygenase (decycling) 1
1,2-propanediol	2162	F13A1	coagulation factor XIII, A1 polypeptide
1-(3-mercapto-2-methyl-propionyl)-pyrrolidine-2-carboxylic acid	1636	ACE	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1
1,4-butanediol	11253	MAN1B1	mannosidase, alpha, class 1B, member 1
1-[4-carboxy-2-(3-pentylamino)phenyl]-5,5'-di(hydroxymethyl)pyrrolidin-2-one	4663	NA	neurocanthocytosis
1,4-dideoxy-4-aza-1-(s)-(9-deazahypoxanthin-9-yl)-d-ribitol	647088	NoName	NoDesc
1,4-dideoxy-5-dehydro-o2-sulfo-glucuronic acid	2258	FGF13	fibroblast growth factor 13
1,4-dideoxy-5-dehydro-o2-sulfo-glucuronic acid	9955	HS3ST3A1	heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1
1,4-dideoxy-o2-sulfo-glucuronic acid	2258	FGF13	fibroblast growth factor 13
1,4-diethylene dioxide	10673	TNFSF13B	tumor necrosis factor (ligand) superfamily, member 13b
1,4-dithiothreitol	2954	GSTZ1	glutathione transferase zeta 1 (maleylacetoacetate isomerase)
1,4-dithiothreitol	3156	HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase
1,4-dithiothreitol	8312	AXIN1	axin 1
1-[4-(octahydro-pyrido[1,2-a]pyrazin-2-yl)-phenyl]-2-phenyl-1,2,3,4-tetrahydro-isoquinolin-6-ol	2099	ESR1	estrogen receptor 1
1-(5-tert-butyl-2-methyl-2h-pyrazol-3-yl)-3-(4-chloro-phenyl)-urea	1432	MAPK14	mitogen-activated protein kinase 14
1-(5-tert-butyl-2-p-tolyl-2h-pyrazol-3-yl)-3-[4-(2-morpholin-4-yl-ethoxy)-naphthalen-1-yl]-urea	1432	MAPK14	mitogen-activated protein kinase 14
1,6-fructose diphosphate (linear form)	226	ALDOA	aldolase A, fructose-bisphosphate
16g	10007	GNPDA1	glucosamine-6-phosphate deaminase 1
19-nor-14-epi-23-yne-1,25 dihydroxyvitamin d3	7421	VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor
1-acetyl-4-(4-{4-[(2-ethoxyphenyl)thio]-3-nitrophenyl}pyridin-2-yl)piperazine	3683	ITGAL	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)
1-allyl-3-butyl-8-(n-acetyl-4-aminobenzyl)-xanthine	5105	PCK1	phosphoenolpyruvate carboxykinase 1 (soluble)
1alpha,25-dihydroxyl-20-epi-22-oxa-24,26,27-trihomovitamin d3	7421	VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor
1-amino-6-cyclohex-3-enylmethyloxypurine	1017	CDK2	cyclin-dependent kinase 2
1-azepan-1-yl-2-phenyl-2-(4-thioxo-1,4-dihydro-pyrazolo[3,4-d]pyrimidin-5-yl)ethanone adduct	3028	HADH2	hydroxyacyl-Coenzyme A dehydrogenase, type II
1-benzyl-3-(4-methoxy-benzenesulfonyl)-6-oxo-hexahydro-pyrimidine-4-carboxylic acid hydroxyamide	4314	MMP3	matrix metalloproteinase 3 (stromelysin 1, progelatinase)
1-benzyl-5-methoxy-2-methyl-1h-indol-3-yl)-acetic acid	5320	PLA2G2A	phospholipase A2, group IIA (platelets, synovial fluid)
1-benzylimidazole	25797	QPCT	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)
1-beta-ribofuranosyl-1,3-diazepinone	978	CDA	cytidine deaminase
1-deoxynojirimycin	11253	MAN1B1	mannosidase, alpha, class 1B, member 1
[(1e)-4-phenylbut-1-enyl]benzene	4129	MAOB	monoamine oxidase B
1-guanidinium-7-aminoheptane	1725	DHPS	deoxyhypusine synthase
1-guanidino-4-(n-nitro-benzoylamino-l-leucyl-l-prolylamino)butane	2147	F2	coagulation factor II (thrombin)
1-guanidino-4-(n-phenylmethanesulfonyl-l-leucyl-l-prolylamino)butane	2147	F2	coagulation factor II (thrombin)
1-hydroxy-2-(3-pyridinyl)ethylidene bis-phosphonic acid	2224	FDPS	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)
[1-hydroxy-3-(methyl-pentyl-amino)-1-phosphono-propyl]-phosphonic acid	2224	FDPS	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)
1-hydroxyamine-2-isobutylmalonic acid	4317	MMP8	matrix metalloproteinase 8 (neutrophil collagenase)
1-menaphthyl glutathione conjugate	2953	GSTT2	glutathione S-transferase theta 2
1-methyl-3-oxo-1,3-dihydro-benzo[c]isothiazole-5-sulfonic acid amide	760	CA2	carbonic anhydrase II
1-methyl-3-phenyl-1h-pyrazol-5-ylsulfamic acid	5770	PTPN1	protein tyrosine phosphatase, non-receptor type 1
1-methyloxy-4-sulfone-benzene	4314	MMP3	matrix metalloproteinase 3 (stromelysin 1, progelatinase)
1-methyloxy-4-sulfone-benzene	4322	MMP13	matrix metalloproteinase 13 (collagenase 3)
(1n)-4-n-butoxyphenylsulfonyl-(2r)-n-hydroxycarboxamido-(4s)-methanesulfonylamino-pyrrolidine	4314	MMP3	matrix metalloproteinase 3 (stromelysin 1, progelatinase)
1-n-(4-sulfamoylphenyl-ethyl)-2,4,6-trimethylpyridinium	760	CA2	carbonic anhydrase II
