adrenergic, beta-1-, receptor^ex_id=betaxolol^source=drugbank^keyspace=1	153
amylase, alpha 2A; pancreatic^ex_id=6-deoxy-alpha-d-glucose^source=drugbank^keyspace=1	279
alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)^ex_id=ezetimibe^source=drugbank^keyspace=1	290	29881	6646
methylthioadenosine phosphorylase^ex_id=(1s)-1-(9-deazaadenin-9-yl)-1,4,5-trideoxy-1,4-imino-5-methylthio-d-ribitol^source=drugbank^keyspace=1	4507
gamma-aminobutyric acid (GABA) A receptor, alpha 1^ex_id=desflurane^source=drugbank^keyspace=1	2554	27032	2741	2890	3736	4535	513
dopamine receptor D1^ex_id=acetophenazine^source=drugbank^keyspace=1	1812	1813
adrenergic, beta-1-, receptor^ex_id=metipranolol^source=drugbank^keyspace=1	153	154
gamma-aminobutyric acid (GABA) A receptor, alpha 1^ex_id=nitrazepam^source=drugbank^keyspace=1	2554
epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)^ex_id=trastuzumab^source=drugbank^keyspace=1	1956	2064	2209	2212	2213	2214	2215	712	713	714	715	716
protein tyrosine phosphatase, non-receptor type 1^ex_id=compound 9^source=drugbank^keyspace=1	5770
sodium channel, voltage-gated, type V, alpha (long QT syndrome 3)^ex_id=encainide^source=drugbank^keyspace=1	6331
aminoadipate-semialdehyde synthase^ex_id=l-glutamic acid^source=drugbank^keyspace=1	10157	10841	116443	116444	124454	162417	18	2028	2058	2346	23549	2356	23657	2571	2572	2677	26873	27165	2729	2730	2744	2746	2747	2752	2806	2806	2875	2890	2891	2892	2893	2894	2895	2897	2898	2899	2900	2901	2902	2903	2904	2905	2906	2911	2914	2917	2918	29968	440	51026	51166	5188	5198	55191	56267	5832	586	587	6505	6506	6507	6511	6512	6898	79751	83733	84706	8833	8836
DNA (cytosine-5-)-methyltransferase 1^ex_id=procainamide^source=drugbank^keyspace=1	1786	6331
